ticker,type,sector,ret_12_1_vs_spy,mom_12_1_spdji,mom_12_1_spdji_vs_spy,ulcer_12_1,max_dd_12_1,bull_stack_days_12_1_20_50_100,trend_consistency,trend_bucket,sharpe_12_1,sortino_12_1,rsi14,rsi14_trend_1w,sma20_slope_3d,vol_trend_20d,ulcer_63d,max_dd_63d,beta_252d_vs_spy,ticker_vs_sector_z_12_1,ticker_vs_sector,sector_vs_market_z_12_1,sector_vs_market,sector_dispersion_12_1_pct,sector_corr_21d_z,market_dispersion_12_1_pct,market_corr_21d_z,sector_alignment_score
CHD,Stock,consumer_staples,-1.8043178599069094,-3.7187375411185957,-17.32537096779008,9.417497286745695,-19.426838645052978,74,40.12456945972128,Acceptable,-0.4532784727765061,-0.6074026673349401,38.42663263322578,Down,Down,Rising,4.7579965502270705,-8.52886035721646,0.07971888664104143,-0.2642483705621177,In Line,-1.0830705477207645,Sector Underperform,0.5873015873015873,-0.7877875562553092,0.2698412698412698,-0.42459210908030753,-0.2642483705621177
DE,Stock,industrials,0.009680890851013757,17.41896317962506,3.812329752953577,5.334241284564419,-18.62216725777046,165,62.39532577624618,Acceptable,0.849313463869344,1.3370821664322583,41.21812328334255,Up,Down,Rising,5.825076896042257,-10.616546222808765,0.7902204298635371,0.7118770207871115,In Line,0.6697841326029136,Sector Outperform,0.373015873015873,0.0484260474781715,0.2698412698412698,-0.42459210908030753,0.7118770207871115
CVI,Stock,energy,-0.6909832265640526,1.357690376962601,-12.248943049708881,20.818455934785842,-38.44367144601616,66,63.68846472767194,Acceptable,0.011150813709341088,0.01419755494858782,67.0054504108738,Up,Up,Falling,11.492932323987963,-23.268701085668187,0.8747767633477773,0.05348794563117903,In Line,-1.119161639771118,Sector Underperform,0.5873015873015873,-0.4239794668944343,0.2698412698412698,-0.42459210908030753,0.05348794563117903
FTI,Stock,energy,-0.07533398047190154,11.474784870822962,-2.1318485558485207,8.76463926233578,-28.93930660518338,114,83.06363155845173,Clean,0.5262811240333295,0.7287319638349276,61.73369816064653,Up,Up,Falling,4.378644451770852,-9.730798336360024,1.3471078775671235,1.0046818913426152,Best in Breed,-1.119161639771118,Sector Underperform,0.5873015873015873,-0.4239794668944343,0.2698412698412698,-0.42459210908030753,1.0046818913426152
ACAD,Stock,health_care,0.025374155364147777,20.280507648882573,6.67387422221109,11.384894393657232,-30.50764048670196,107,51.71361878868828,Acceptable,0.9427423523273066,1.7340110794430283,48.358936557019135,Down,Down,Rising,4.251905718641906,-11.140380573844189,0.880382898706357,1.6109509013135417,Best in Breed,-1.2526622984530225,Sector Underperform,0.6984126984126984,0.23121020500592634,0.2698412698412698,-0.42459210908030753,1.6109509013135417
PNR,Stock,industrials,-0.5751976384844765,16.377224640305872,2.7705912136343898,10.497005227244111,-30.0861440008652,137,66.93727470448475,Clean,0.7430840844796783,1.145941640100497,54.92501680793453,Down,Up,Rising,2.6224786500119626,-6.337006997631667,1.0760335479069125,0.6226242875591785,In Line,0.6697841326029136,Sector Outperform,0.373015873015873,0.0484260474781715,0.2698412698412698,-0.42459210908030753,0.6226242875591785
CPRT,Stock,industrials,-1.6312572724635725,-4.101109409698877,-17.707742836370358,14.011061574160877,-28.99435820377714,62,52.799135428607634,Acceptable,-0.4555322202418039,-0.6142344064682637,38.08471022342411,Down,Down,Rising,5.002883137159409,-9.025419303696003,0.6798966421178144,-1.1318920492483895,Underperforming,0.6697841326029136,Sector Outperform,0.373015873015873,0.0484260474781715,0.2698412698412698,-0.42459210908030753,-1.1318920492483895
WMB,Stock,energy,0.2920677554572759,19.46078594861745,5.8541525219459665,5.341547453663111,-12.183613572893126,209,75.11615620293404,Clean,0.9097872837439263,1.221282774812437,64.64457938875253,Up,Up,Rising,7.162271605248736,-10.100201320515723,0.6595661526738043,1.755513652403358,Best in Breed,-1.119161639771118,Sector Underperform,0.5873015873015873,-0.4239794668944343,0.2698412698412698,-0.42459210908030753,1.755513652403358
CNM,Stock,industrials,0.09901649644575894,11.211355548011918,-2.3952778786595648,12.066212750677568,-29.24967297013854,100,74.53135173343621,Clean,0.4945080946761462,0.7211639392499385,31.79935518377954,Up,Down,Rising,9.969417188279584,-27.50074807473981,0.9911550577751971,0.18002960704917276,In Line,0.6697841326029136,Sector Outperform,0.373015873015873,0.0484260474781715,0.2698412698412698,-0.42459210908030753,0.18002960704917276
FOUR,Stock,technology,-1.0321555269039078,3.4365978852538936,-10.170035541417588,20.40465339435987,-42.30463322685615,161,40.126882762231645,Acceptable,0.10497987497919173,0.13401526523112553,42.664309595017585,Up,Down,Falling,13.084008497833583,-23.593294189917003,1.2619916758031835,-0.19253919938776018,In Line,-0.19627732469050457,Sector Neutral,0.35714285714285715,-0.9690711199057189,0.2698412698412698,-0.42459210908030753,-0.19253919938776018
ACN,Stock,technology,-2.600959231129414,-11.537733763817513,-25.144367190488996,17.764272287484133,-39.67479828326977,107,37.790907914144825,Choppy,-0.948556342193596,-1.2163090872432352,35.75893960693489,Up,Down,Falling,14.055017950760938,-21.912734918460497,0.7828227274796604,-1.2312179735015687,Underperforming,-0.19627732469050457,Sector Neutral,0.35714285714285715,-0.9690711199057189,0.2698412698412698,-0.42459210908030753,-1.2312179735015687
LNG,Stock,energy,0.07105956923232326,12.974053097485235,-0.6325803291862471,7.926758493869185,-22.060173936083448,188,76.8495430349336,Clean,0.5881849455807274,0.7893709118676306,41.70389707556952,Down,Down,Falling,3.9739828306370164,-8.842311017432058,0.6753050375447892,1.1456408258533202,Best in Breed,-1.119161639771118,Sector Underperform,0.5873015873015873,-0.4239794668944343,0.2698412698412698,-0.42459210908030753,1.1456408258533202
APG,Stock,industrials,0.9162299988071614,28.054275689099427,14.447642262427944,6.33544384550586,-21.23287139148391,119,78.99492234527726,Clean,1.2480764879397899,1.9585491266594472,48.219870134765635,Down,Down,Rising,2.2859570251965238,-4.8156301393834084,1.0200964941537278,1.6230756319320618,Best in Breed,0.6697841326029136,Sector Outperform,0.373015873015873,0.0484260474781715,0.2698412698412698,-0.42459210908030753,1.6230756319320618
LW,Stock,consumer_staples,-1.7013540481238918,-2.712370889811307,-16.31900431648279,26.558140224521942,-40.87006099030055,40,25.461863541655166,Choppy,-0.28362409900198854,-0.3807557004145835,48.75017309783493,Down,Up,Rising,7.444785566999125,-14.910057316261483,0.5145092128945835,-0.18586213004007898,In Line,-1.0830705477207645,Sector Underperform,0.5873015873015873,-0.7877875562553092,0.2698412698412698,-0.42459210908030753,-0.18586213004007898
NVT,Stock,industrials,-0.11197579508913891,12.230910476396751,-1.3757229502747315,16.48409004563873,-42.76178242196117,74,87.60259718380495,Clean,0.5384289380816254,0.7622805466375395,73.26374705570717,Up,Up,Falling,1.6266093361365488,-4.1702900200138675,1.514505977992757,0.26738172142311745,In Line,0.6697841326029136,Sector Outperform,0.373015873015873,0.0484260474781715,0.2698412698412698,-0.42459210908030753,0.26738172142311745
ABT,Stock,health_care,-0.33882847638887936,14.990879994576908,1.384246567905425,5.004320910102265,-13.270804948402803,173,44.223714738460245,Acceptable,0.6547735110361119,0.9031852555610813,61.8659010951782,Up,Up,Rising,5.106953865688352,-12.332750531065662,0.26092601040979685,1.1947707759701125,Best in Breed,-1.2526622984530225,Sector Underperform,0.6984126984126984,0.23121020500592634,0.2698412698412698,-0.42459210908030753,1.1947707759701125
