ticker,type,sector,mom_12_1_spdji,mom_21d_spdji,mom_12_1_spdji_vs_spy,mom_21d_spdji_vs_spy,ulcer_12_1,ulcer_63d,max_dd_12_1,max_dd_63d,sma20_slope_3d,sma100_slope_3d,sma200_slope_3d,trend_consistency,trend_bucket,ret_12_1_vs_spy,bull_stack_days_12_1_20_50_100,sharpe_12_1,sortino_12_1,rsi14,rsi14_trend_1w,vol_trend_20d,beta_252d_vs_spy,ticker_vs_sector_z_12_1,ticker_vs_sector,sector_vs_market_z_12_1,sector_vs_market,sector_dispersion_12_1_pct,sector_corr_21d_z,market_dispersion_12_1_pct,market_corr_21d_z,sector_alignment_score
EPRT,Stock,real_estate,5.600059719759076,-3.22550728235014,-8.006571378799176,-12.241917530453353,5.78890777430076,5.915754841111787,-15.523889270224423,-9.896990471560185,Down,Down,Down,55.92206550003552,Acceptable,-1.4275880792744133,118.0,0.10427028557612422,0.14919896655906761,46.473016586542315,Up,Rising,0.525338011603842,0.5353673745413472,In Line,-0.9860792787504296,Sector Underperform,0.5714285714285714,-0.7656573788873571,0.2698412698412698,-0.42459614383165534,0.5353673745413472
ES,Stock,utilities,3.948672327503468,1.279620428101498,-9.657958771054785,-7.736789820001715,8.455931389166539,2.4157642908342916,-18.31680335619129,-5.643953739439578,Down,Up,Up,63.63762888908505,Acceptable,-1.1920761240637694,119.0,0.0691741081217103,0.09473706189702841,61.05909747028624,Up,Rising,0.36462873883278546,-0.8271389083339977,In Line,1.507595327305934,Sector Outperform,0.4007936507936508,0.30429666491143276,0.2698412698412698,-0.42459614383165534,-0.8271389083339977
EXEL,Stock,health_care,15.29291783363286,2.4581196116722084,1.6862867350746065,-6.558290636431005,7.475081720668103,13.902253198691232,-21.703409998086055,-21.516793015938408,Up,Up,Up,52.003100542387415,Acceptable,0.13110135676764756,191.0,0.7132488547489942,1.0604084779722955,59.12731595195294,Up,Rising,0.5472980126662954,1.2185346813788396,Best in Breed,-1.2526612566607174,Sector Underperform,0.6984126984126984,0.2312101461213987,0.2698412698412698,-0.42459614383165534,1.2185346813788396
EXLS,Stock,technology,12.922992695272224,-0.41952445917479464,-0.6836384032860288,-9.435934707278008,9.39488833956422,4.983091751942296,-20.077215954360316,-8.870787480135112,Down,Down,Down,58.343900646819066,Acceptable,-0.4096711029324952,135.0,0.5195168270883759,0.7401599597126135,50.3216511044693,Up,Rising,0.837568836809595,0.4654746063843887,In Line,-0.19627724623798987,Sector Neutral,0.35714285714285715,-0.9690712594562025,0.2698412698412698,-0.42459614383165534,0.4654746063843887
EXPE,Stock,consumer_discretionary,22.50587260016343,5.5329489327785994,8.899241501605175,-3.4834613153246137,12.695271623916403,2.1863126590466018,-33.702907692392344,-7.352105611184811,Up,Up,Up,45.970155227345735,Acceptable,0.08890522337675799,145.0,1.009805516705956,1.6454030849592385,63.71809485721374,Down,Rising,1.4148478902860653,0.8125620259575295,In Line,0.8809005445532264,Sector Outperform,0.35714285714285715,-0.29515459244002623,0.2698412698412698,-0.42459614383165534,0.8125620259575295
EXPD,Stock,industrials,1.4796237202176066,1.446682199012281,-12.127007378340647,-7.569728049090932,11.113963930259239,2.4752388631291535,-21.262631769816387,-6.60796415380962,Up,Up,Up,48.85298965282725,Acceptable,-1.3792145840480523,54.0,-0.058421350268578386,-0.08169532281332464,46.127995289548686,Down,Rising,0.7213579391164441,-0.6536331802468913,In Line,0.6697844182888637,Sector Outperform,0.373015873015873,0.048386650395389336,0.2698412698412698,-0.42459614383165534,-0.6536331802468913
EXR,Stock,real_estate,-7.856508512918595,0.9426826325032532,-21.463139611476848,-8.07372761559996,15.215013977269463,6.270975635039703,-29.359889618586266,-12.114079526144428,Up,Up,Down,34.51640033733957,Choppy,-2.240042727795026,70.0,-0.6681672514707289,-0.8466534555636867,43.196618361287996,Down,Rising,0.5447010064253933,-0.9390694391961831,In Line,-0.9860792787504296,Sector Underperform,0.5714285714285714,-0.7656573788873571,0.2698412698412698,-0.42459614383165534,-0.9390694391961831
FAST,Stock,industrials,33.917143069486016,-2.3456594318494335,20.310511970927763,-11.362069679952647,6.303056740238525,2.709440215031681,-15.696508131801956,-6.489383801094917,Down,Up,Up,83.15395558432664,Clean,1.289987449538501,166.0,1.6056573079677956,2.8503372390867185,46.290359492631865,Flat,Falling,0.7010676356029011,2.122164231830466,Best in Breed,0.6697844182888637,Sector Outperform,0.373015873015873,0.048386650395389336,0.2698412698412698,-0.42459614383165534,2.122164231830466
FSLR,Stock,technology,-1.589326893776164,5.527591887156157,-15.195957992334417,-3.4888183609470564,33.05804720319987,6.326968937465468,-52.93059735936736,-13.0735570453416,Up,Up,Up,68.696838788069,Clean,-1.6641862119145008,46.0,-0.20358637331422216,-0.29542191493611464,63.43377607069365,Up,Falling,0.8717212861481903,-0.5411571772390322,In Line,-0.19627724623798987,Sector Neutral,0.35714285714285715,-0.9690712594562025,0.2698412698412698,-0.42459614383165534,-0.5411571772390322
FE,Stock,utilities,4.9145644383177,-1.2197339249564312,-8.692066660240553,-10.236144173059644,6.474097348210659,0.9822413489637407,-12.99436188419797,-2.5483479236459883,Down,Up,Up,65.90531909296186,Acceptable,-0.9824528605437034,96.0,0.11049769014520772,0.14178949913116767,49.6833331667756,Down,Falling,0.1301906624431334,-0.75053918756201,In Line,1.507595327305934,Sector Outperform,0.4007936507936508,0.30429666491143276,0.2698412698412698,-0.42459614383165534,-0.75053918756201
FI,Stock,financials,-7.031675655870625,-5.05600300591101,-20.63830675442888,-14.072413254014222,19.025459142221262,18.36068577850444,-44.39631399391869,-24.921674303304385,Down,Down,Down,46.46061388773054,Acceptable,-2.1977327892646814,126.0,-0.5485443848428327,-0.6193542777581588,36.44313631854441,Flat,Falling,0.6531856640502114,-1.6287645873836951,Underperforming,0.7009181369232445,Sector Outperform,0.10317460317460317,-0.29325201825938035,0.2698412698412698,-0.42459614383165534,-1.6287645873836951
FIVE,Stock,consumer_discretionary,21.606422695329062,2.6522508032418295,7.999791596770809,-6.364159444861384,19.00471328752048,3.180377200652901,-51.927223063573244,-8.800521862543176,Up,Up,Up,61.15580952789932,Acceptable,-0.4151862615405777,91.0,0.9332876736177941,1.3096065733006927,57.9074962296629,Up,Falling,1.4724413197936472,0.7513299820206555,In Line,0.8809005445532264,Sector Outperform,0.35714285714285715,-0.29515459244002623,0.2698412698412698,-0.42459614383165534,0.7513299820206555
FND,Stock,consumer_discretionary,-6.914664369956612,0.8414366893664778,-20.521295468514865,-8.174973558736735,27.656299861142536,5.208526833861561,-46.0256119583096,-10.815720297822029,Up,Up,Down,35.51459203612362,Choppy,-2.4228069104164005,31.0,-0.5910163190453466,-0.8050348803310228,47.34047478110379,Down,Falling,1.135049599297215,-1.1903061746150865,Underperforming,0.8809005445532264,Sector Outperform,0.35714285714285715,-0.29515459244002623,0.2698412698412698,-0.42459614383165534,-1.1903061746150865
FTNT,Stock,technology,1.7021504433081012,4.638754357873335,-11.904480655250152,-4.377655890229878,10.41107247824485,19.163080786146608,-35.07026308126188,-30.896425141466267,Up,Down,Down,58.33948522493838,Acceptable,-1.0891168533123126,159.0,0.0404556707239403,0.05055951873001256,56.10037533191717,Up,Falling,1.207021848328854,-0.31284731386711734,In Line,-0.19627724623798987,Sector Neutral,0.35714285714285715,-0.9690712594562025,0.2698412698412698,-0.42459614383165534,-0.31284731386711734
FTAI,Stock,industrials,4.9031967811949,10.670992804859354,-8.703434317363353,1.6545825567561412,27.73659952528844,9.794793708713177,-52.10905728196202,-18.726393179608348,Up,Up,Up,78.6555832527413,Clean,-0.9741129435111073,116.0,0.29364923101900214,0.38859502742293983,81.15855787384412,Up,Falling,1.7126187176323442,-0.3606654862504988,In Line,0.6697844182888637,Sector Outperform,0.373015873015873,0.048386650395389336,0.2698412698412698,-0.42459614383165534,-0.3606654862504988
FOX,Stock,communication_services,27.168225801319235,0.77910007532089,13.561594702760981,-8.237310172782323,6.270301989425923,3.366941520549918,-18.797715619597387,-8.818873464393018,Up,Up,Up,51.99359459599226,Acceptable,0.8321137427856198,186.0,1.2901772765231356,1.9372992241522107,55.65822777226769,Up,Rising,0.84728294863141,0.8713396062228906,In Line,1.3390768345413788,Sector Outperform,0.5634920634920635,-0.7757264894847336,0.2698412698412698,-0.42459614383165534,0.8713396062228906
BEN,Stock,financials,7.399461215731765,-0.3016989802962876,-6.207169882826488,-9.3181092283995,9.372457151268218,3.230426066767086,-24.39494921298534,-6.991938356369653,Down,Up,Up,45.204343201733124,Acceptable,-0.08294949211173219,71.0,0.3453102371980631,0.4890424862337759,44.17134433367616,Up,Falling,1.05432248309312,-0.3080100272347673,In Line,0.7009181369232445,Sector Outperform,0.10317460317460317,-0.29325201825938035,0.2698412698412698,-0.42459614383165534,-0.3080100272347673
FCX,Stock,materials,-1.1115514803894486,3.7533635798479783,-14.718182578947701,-5.263046668255235,20.907227486212626,7.549664592092016,-43.457468945341816,-16.820399614596838,Up,Up,Up,57.48746901928702,Acceptable,-1.3470229608897186,45.0,-0.17687965205923514,-0.24434733585281454,53.11286300379904,Down,Falling,1.4672395894856205,-0.1391166948642966,In Line,-0.46102517043649444,Sector Neutral,0.4007936507936508,-0.3047583230038841,0.2698412698412698,-0.42459614383165534,-0.1391166948642966
FSK,Stock,financials,1.3956202458751459,-5.974772343465184,-12.211010852683108,-14.991182591568396,8.167244060305375,15.282409831053757,-22.853544032652696,-26.4017570732652,Down,Down,Down,68.1943516776704,Clean,-1.2316464257705455,152.0,-0.0743589185061757,-0.09768716093498925,20.698979247504454,Down,Falling,0.7444866149920241,-0.8574885894505391,In Line,0.7009181369232445,Sector Outperform,0.10317460317460317,-0.29325201825938035,0.2698412698412698,-0.42459614383165534,-0.8574885894505391
AJG,Stock,financials,4.393608502470946,-1.423450032516814,-9.213022596087306,-10.439860280620028,7.0462175033021515,7.811786461904417,-18.360493865343585,-12.825941452271438,Down,Down,Down,70.81457436204752,Clean,-1.062013080304113,141.0,0.08668562050465442,0.11274531222273303,52.73549435126889,Up,Falling,0.3837253496405753,-0.5831091904883161,In Line,0.7009181369232445,Sector Outperform,0.10317460317460317,-0.29325201825938035,0.2698412698412698,-0.42459614383165534,-0.5831091904883161
GLPI,Stock,real_estate,1.494727388597629,-0.01785144038432652,-12.111903709960623,-9.03426168848754,5.348241596543997,2.606738809796544,-10.36965305435864,-5.557857841583536,Up,Up,Down,55.803640343160275,Acceptable,-1.4779795324547176,83.0,-0.17200668513303335,-0.2373443799994346,46.01246601218999,Down,Rising,0.3550809320084551,0.08554591805794502,In Line,-0.9860792787504296,Sector Underperform,0.5714285714285714,-0.7656573788873571,0.2698412698412698,-0.42459614383165534,0.08554591805794502
IT,Stock,technology,-21.2551993338779,2.024980939524865,-34.86183043243615,-6.991429308578349,21.090864407541257,29.905590410354577,-59.04675593934137,-44.435704709911924,Up,Down,Down,55.66695664451207,Acceptable,-4.061052503070471,81.0,-1.8066949833156263,-1.9505002084874201,49.70422205538868,Up,Rising,0.907705079092522,-1.9052597336511312,Underperforming,-0.19627724623798987,Sector Neutral,0.35714285714285715,-0.9690712594562025,0.2698412698412698,-0.42459614383165534,-1.9052597336511312
GEN,Stock,technology,15.357280620284113,-6.458561984129824,1.75064952172586,-15.474972232233037,10.393271856315772,4.90981952241154,-25.535308944196334,-10.715001100384614,Down,Up,Down,50.476135552764624,Acceptable,-0.32390502848832525,138.0,0.7579472592716137,1.1529365426058038,41.418012793212995,Up,Rising,0.9010924676149953,0.634326427815945,In Line,-0.19627724623798987,Sector Neutral,0.35714285714285715,-0.9690712594562025,0.2698412698412698,-0.42459614383165534,0.634326427815945
GNRC,Stock,industrials,11.864118911338267,-2.707050520272021,-1.7425121872199867,-11.723460768375235,24.39292846158074,5.5012616233382925,-47.76280157341256,-13.660343051568159,Down,Up,Down,61.070010047197044,Acceptable,-0.5283794616464172,104.0,0.5827959521437559,0.950260589924963,48.43535943534187,Down,Falling,1.1562414016364984,0.2350061317445359,In Line,0.6697844182888637,Sector Outperform,0.373015873015873,0.048386650395389336,0.2698412698412698,-0.42459614383165534,0.2350061317445359
GM,Stock,consumer_discretionary,11.48870389093094,4.3172902092665915,-2.1179272076273126,-4.699120038836622,15.01382280826182,1.4161281805983776,-29.095993839385347,-8.428551022989927,Up,Up,Up,43.851467040963755,Acceptable,-0.4804798541667984,105.0,0.54966101982322,0.7764516374655852,62.421433673171016,Down,Falling,0.8608933437977587,0.06254387059633013,In Line,0.8809005445532264,Sector Outperform,0.35714285714285715,-0.29515459244002623,0.2698412698412698,-0.42459614383165534,0.06254387059633013
G,Stock,technology,9.747070781231029,-6.830015856417616,-3.859560317327224,-15.84642610452083,12.387642791023554,4.7263304081756035,-26.270628667487507,-10.528560898917005,Down,Down,Down,25.5279764340955,Choppy,-0.5158637168185188,134.0,0.41864285755185865,0.5803011315327868,32.863931310702924,Down,Falling,0.6450946930039884,0.24518012338577994,In Line,-0.19627724623798987,Sector Neutral,0.35714285714285715,-0.9690712594562025,0.2698412698412698,-0.42459614383165534,0.24518012338577994
GMED,Stock,health_care,-5.108881119026226,-4.739064721776927,-18.71551221758448,-13.75547496988014,22.506938007011577,7.1067598870568816,-44.395628419053246,-14.33052723940743,Down,Down,Down,20.601528287869257,Choppy,-1.7235517954132902,107.0,-0.400340139684542,-0.4844399582530307,38.24280949270275,Down,Rising,0.9882696559610554,-0.38664889034573385,In Line,-1.2526612566607174,Sector Underperform,0.6984126984126984,0.2312101461213987,0.2698412698412698,-0.42459614383165534,-0.38664889034573385
GDDY,Stock,technology,-5.6041215188798486,-0.6282129846164796,-19.210752617438104,-9.644623232719693,14.233991283277694,14.61497479706078,-37.78866232496528,-25.94546527483783,Down,Down,Down,55.35521338775639,Acceptable,-1.4827484488223617,117.0,-0.47806853122087656,-0.5825857142763186,43.9991579031372,Flat,Rising,0.8023361256624268,-0.8196391834787289,In Line,-0.19627724623798987,Sector Neutral,0.35714285714285715,-0.9690712594562025,0.2698412698412698,-0.42459614383165534,-0.8196391834787289
HTHT,Stock,consumer_discretionary,7.35482290330071,6.1684143785440195,-6.251808195257543,-2.8479958695591936,15.28346759956994,4.279053683783259,-27.174695459178743,-11.780025397962701,Up,Up,Up,43.95096836720454,Acceptable,-0.5150475680946167,70.0,0.3427739580332087,0.5445470132566459,72.77679986114643,Up,Falling,0.7031453988689649,-0.21887923135062684,In Line,0.8809005445532264,Sector Outperform,0.35714285714285715,-0.29515459244002623,0.2698412698412698,-0.42459614383165534,-0.21887923135062684
HAL,Stock,energy,-12.11669239894941,2.9578643868590815,-25.723323497507664,-6.058545861244132,22.729012598558285,5.214673525313497,-39.04016157270379,-11.178513803521861,Up,Up,Down,30.700928788852888,Choppy,-2.346775752340803,7.0,-1.011921672764595,-1.326353597007751,55.918859028902624,Up,Rising,1.2227372982781517,-1.2133531317445765,Underperforming,-1.1191617025023841,Sector Underperform,0.5873015873015873,-0.42397936983590534,0.2698412698412698,-0.42459614383165534,-1.2133531317445765
HALO,Stock,health_care,5.679626342691446,8.159128342434087,-7.9270047558668075,-0.8572819056691259,16.61902915334011,1.1983155452502585,-33.91803647187037,-3.602827466057845,Up,Up,Up,49.538027924224615,Acceptable,-0.8031810796024753,80.0,0.24280179810552266,0.30404966896872526,75.78251279533323,Up,Falling,0.6120711786090482,0.4621750286214752,In Line,-1.2526612566607174,Sector Underperform,0.6984126984126984,0.2312101461213987,0.2698412698412698,-0.42459614383165534,0.4621750286214752
HASI,Stock,financials,-2.7346202716228856,3.5076895973162894,-16.34125137018114,-5.508720650786923,19.44298170177975,5.338470255150402,-34.47565895046579,-15.376606689676219,Up,Up,Down,52.025988659439236,Acceptable,-1.7334347678649693,87.0,-0.2562618159191329,-0.3365519453017164,61.652630145498435,Up,Falling,0.585178370396906,-1.2354930423590147,Underperforming,0.7009181369232445,Sector Outperform,0.10317460317460317,-0.29325201825938035,0.2698412698412698,-0.42459614383165534,-1.2354930423590147
HIG,Stock,financials,15.027147605049237,-1.4536699969818576,1.4205165064909835,-10.470080245085072,5.751283327987587,2.625205224473097,-13.722151649888115,-6.0425337422405745,Down,Up,Up,79.45893749373683,Clean,-0.28812952812909376,145.0,0.6714070220595917,0.9041713249473048,50.92888644929793,Down,Falling,0.5985963723034287,0.3900847709582417,In Line,0.7009181369232445,Sector Outperform,0.10317460317460317,-0.29325201825938035,0.2698412698412698,-0.42459614383165534,0.3900847709582417
HAYW,Stock,industrials,7.17215347777178,-2.73600149996447,-6.434477620786473,-11.752411748067683,12.34757970345007,3.475252060150571,-31.80723232114786,-9.903378276196761,Down,Up,Down,47.45808973745924,Acceptable,-0.8134118162238271,103.0,0.26284114409370823,0.3825550239423409,39.40159790231017,Down,Rising,0.9975537050375258,-0.16650254614836862,In Line,0.6697844182888637,Sector Outperform,0.373015873015873,0.048386650395389336,0.2698412698412698,-0.42459614383165534,-0.16650254614836862
HCA,Stock,health_care,4.882476255260409,-0.22534942776511638,-8.724154843297844,-9.24175967586833,16.364978304703634,5.176458383469427,-28.447561392210787,-14.173487778821103,Down,Up,Up,75.96050169194606,Clean,-1.0408272967932484,130.0,0.15358712991020976,0.19965728991669146,53.52075720870533,Flat,Falling,0.2903898172530735,0.3994564307413439,In Line,-1.2526612566607174,Sector Underperform,0.6984126984126984,0.2312101461213987,0.2698412698412698,-0.42459614383165534,0.3994564307413439
HR,Stock,real_estate,1.5436945675339764,5.633643039364773,-12.062936531024278,-3.38276720873844,10.370283322666914,2.1153559749516946,-20.544443146819013,-7.469881835605063,Up,Up,Up,49.576813898683355,Acceptable,-1.3581047904671644,69.0,-0.13154096593913764,-0.18680592211986038,62.58912317480268,Down,Rising,0.3438763447950629,0.09091125415554653,In Line,-0.9860792787504296,Sector Underperform,0.5714285714285714,-0.7656573788873571,0.2698412698412698,-0.42459614383165534,0.09091125415554653
HL,Stock,materials,8.988444426536908,11.67353908994268,-4.618186672021345,2.6571288418394676,22.781116503669775,3.7062489414353377,-39.51297837354411,-9.968357619516476,Up,Up,Up,43.15091625096632,Acceptable,-0.9239285608519171,113.0,0.4371016969382821,0.6194686493767196,71.56505063994751,Down,Rising,0.7292283741100322,0.8347804467019941,In Line,-0.46102517043649444,Sector Neutral,0.4007936507936508,-0.3047583230038841,0.2698412698412698,-0.42459614383165534,0.8347804467019941
HESM,Stock,energy,12.048602061230813,-5.933794980329292,-1.5580290373274401,-14.950205228432505,7.477023419263938,4.362404911986336,-19.712857641423664,-17.310359082249114,Down,Up,Up,68.58067094879921,Clean,-0.26123855850745836,100.0,0.5989246961094848,0.8236602704626838,21.697064008812944,Down,Rising,0.6519564492524155,1.058631027456412,Best in Breed,-1.1191617025023841,Sector Underperform,0.5873015873015873,-0.42397936983590534,0.2698412698412698,-0.42459614383165534,1.058631027456412
HPE,Stock,technology,6.0219212257276835,10.939761054127876,-7.58470987283057,1.9233508060246631,19.86198046088473,2.552831777885692,-48.35785538625124,-7.1696444006608795,Up,Up,Up,76.26816777110848,Clean,-0.570286554751863,101.0,0.2431561615169331,0.3342358608423301,71.06996005578537,Down,Falling,1.5682588349193292,-0.01321095726201156,In Line,-0.19627724623798987,Sector Neutral,0.35714285714285715,-0.9690712594562025,0.2698412698412698,-0.42459614383165534,-0.01321095726201156
HIMS,Stock,consumer_staples,23.852935135905685,6.48602635581668,10.246304037347432,-2.530383892286533,27.966038655264654,20.32525075046611,-63.12190694025198,-37.24690452132121,Up,Up,Up,52.33339754252692,Acceptable,0.4413520338358541,121.0,0.8126857163308956,1.1038060944490349,63.86026578042307,Up,Rising,2.3287331831502205,1.8833187156675153,Best in Breed,-1.083070607024632,Sector Underperform,0.5873015873015873,-0.7877872496449966,0.2698412698412698,-0.42459614383165534,1.8833187156675153
HD,Stock,consumer_discretionary,10.846180248863623,4.2610603778272,-2.76045084969463,-4.755349870276013,10.572365148213041,1.4488752301089534,-21.7916260491249,-4.25930883162513,Up,Up,Down,67.52433287460579,Clean,-0.8197902038032281,120.0,0.46283870251886794,0.6871648198978828,58.631682497296815,Down,Falling,0.6211597753182643,0.018802650912960062,In Line,0.8809005445532264,Sector Outperform,0.35714285714285715,-0.29515459244002623,0.2698412698412698,-0.42459614383165534,0.018802650912960062
HST,Stock,real_estate,1.9411588305222498,5.77500305050711,-11.665472268036003,-3.2414071975961027,13.36530643978024,3.0460408499609466,-31.297390099697786,-8.012047549051315,Up,Up,Down,59.407878472270625,Acceptable,-1.4654420011625096,81.0,-0.026675479200756056,-0.038773399583058664,59.01461136429769,Down,Rising,1.0932508707257649,0.13446143213271067,In Line,-0.9860792787504296,Sector Underperform,0.5714285714285714,-0.7656573788873571,0.2698412698412698,-0.42459614383165534,0.13446143213271067
HWM,Stock,industrials,35.47320005921534,6.704844712291998,21.866568960657084,-2.311565535811215,4.982349616487877,5.743165316340819,-19.413157401490476,-10.943544245816394,Up,Up,Up,82.62558674142065,Clean,1.8719310435481105,221.0,1.5358102918936951,2.2842849922629633,64.11648634353352,Down,Rising,1.2248971446573946,2.255321731287432,Best in Breed,0.6697844182888637,Sector Outperform,0.373015873015873,0.048386650395389336,0.2698412698412698,-0.42459614383165534,2.255321731287432
HUM,Stock,health_care,-5.840506760612492,-4.724668737058296,-19.447137859170745,-13.741078985161508,28.25473748961004,7.07721862149414,-39.863653996621,-19.01922959547776,Down,Down,Down,42.445164842066276,Acceptable,-1.4446051561875926,4.0,-0.5407418700869906,-0.7156191962380873,31.14297597673422,Down,Rising,0.44816932824286015,-0.4442121210810146,In Line,-1.2526612566607174,Sector Underperform,0.6984126984126984,0.2312101461213987,0.2698412698412698,-0.42459614383165534,-0.4442121210810146
ICLR,Stock,health_care,-14.380212028933807,-0.4159517246730951,-27.986843127492058,-9.432361972776308,42.135096837462974,9.442714953156639,-61.16070091295306,-20.301521692778067,Down,Up,Down,24.52776605567657,Choppy,-3.003679620140373,9.0,-1.2687286106474533,-1.6536434996139957,51.1175866166962,Up,Rising,0.8504113981046474,-1.1161035869212144,Underperforming,-1.2526612566607174,Sector Underperform,0.6984126984126984,0.2312101461213987,0.2698412698412698,-0.42459614383165534,-1.1161035869212144
