ticker,cik,sector,latest_quarter_end,revenue_concept,net_income_concept,ocf_concept,eps_diluted_concept,eps_source,eps_notes,quarters_available,annuals_available,has_quarterly_revenue,has_quarterly_eps,has_quarterly_net_income,has_quarterly_ocf,rev_yoy,eps_yoy,ocf_yoy,ni_yoy,rev_qoq,eps_qoq,ocf_qoq,ttm_revenue,ttm_net_income,ttm_eps_diluted,ttm_ocf,latest_quarter_all_positive,revenue_qoq_grew_0,revenue_qoq_grew_1,revenue_qoq_grew_2,revenue_qoq_grew_3,eps_diluted_qoq_grew_0,eps_diluted_qoq_grew_1,eps_diluted_qoq_grew_2,eps_diluted_qoq_grew_3,ocf_qoq_grew_0,ocf_qoq_grew_1,ocf_qoq_grew_2,ocf_qoq_grew_3,net_income_qoq_grew_0,net_income_qoq_grew_1,net_income_qoq_grew_2,net_income_qoq_grew_3,reasons,grade_score,grade_letter,grade_provisional,foreign_grade_score,foreign_grade_letter
RBA,0001046102,,2025-06-30,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.08201806404525125,-0.01851851851851849,0.04587751568924481,-0.011701170117011661,0.031045349248411458,0.04423718315227751,1.153093972055728,4372500000.0,410400000.0,1.98,1849700000.0,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,False,True,,58.74,C,False,,
RITM,0001556593,,2025-06-30,Revenues,ProfitLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.05332947903837648,0.2325581395348839,-1.7201918429254794,0.3233243899539813,0.08390401371659456,1.2957102866986587,-1.352605481039618,3760353000.0,749665000.0,1.23,653671000.0,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,,57.66,C,False,,
HOOD,0001783879,,2025-06-30,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.45014662756598245,1.0,-8.29525483304042,1.0531914893617023,0.13992972723566435,0.3219490498902264,0.42775320155030727,3235000000.0,1060000000.0,1.1700000000000002,5467000000.0,True,True,True,False,True,True,True,False,True,True,False,False,False,True,True,False,True,,83.13,B,False,,
ROL,0000084839,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.12064647053547395,0.07407407407407396,0.18149463580727065,0.09344884348168825,0.08301025044611901,0.14049644312802204,0.5550653102086469,3630221000.0,513047000.0,1.06,1160949000.0,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,,67.23,C,False,,
RPRX,0001802768,,2025-06-30,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.07705293643570132,-0.6956521739130435,-0.2742471351562199,-0.7041684639818047,0.005400878171875234,6.210671936758893,0.3567501542773574,2248869000.0,914516000.0,2.06,4905444000.0,True,True,True,True,False,False,False,True,True,True,False,True,True,False,False,True,True,,56.06,C,False,,
RTX,0000101829,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.09431570407180168,14.25,-0.42666666666666664,13.927927927927929,0.0284500969125025,2.9508867495573794,2.0989481751301775,81697000000.0,4775000000.0,3.5300000000000002,11741000000.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,,65.7,C,False,,
RSI,0001793659,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.22160913698673657,,0.06614108533197705,-167.88,0.0558210867556872,1.4666666666666668,0.3710657340369426,984112000.0,23097000.0,0.18,214882000.0,True,True,True,True,True,True,True,,False,True,False,True,True,True,True,False,False,,59.7,C,False,,
SPGI,0000064040,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.05804451958298107,0.08359133126934992,-0.042332268370606996,0.060336300692383826,0.018654731470516273,0.02799110662860152,0.744004558653905,14656000000.0,4144000000.0,13.38,9804000000.0,True,False,True,True,True,False,True,False,True,True,False,True,True,False,True,False,True,,68.6,C,False,,
SBRA,0001492298,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.16258702659738877,1.7000000000000002,0.21289769264912772,1.733764337851929,0.046103441864318695,0.276254627725216,0.652282287909116,298117000.0,159609000.0,0.67,604981000.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,,85.88,A,False,,
CRM,0001108524,,2025-07-31,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.09769436997319025,0.33333333333333326,-0.17040358744394624,0.32050384884534644,0.028989690402626334,0.06404278518006384,0.43647743167353165,38834000000.0,6384000000.0,6.6,10091000000.0,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,,69.31,C,False,,
SAND,0001434614,,,,,,,,,0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,64.83,C
STX,0001137789,,2025-03-28,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.30513595166163143,12.083333333333334,0.18801652892561993,12.6,0.09393192560648031,2.132215168153741,0.7443380423772283,8308000000.0,1006000000.0,4.65,1470000000.0,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,,79.31,B,False,,
SMTC,0000088941,,2025-07-27,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.1961133941631259,-0.8812260536398467,-15.205153422501967,-0.8410757802636601,0.05767232450873422,-0.08019418321142457,13.009495357028246,960829000.0,-185600000.0,-2.8,119450000.0,False,True,True,True,True,False,False,False,True,True,True,False,True,False,False,False,True,,25.84,F,False,,
NOW,0001373715,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.22382946326608288,0.46031746031746046,0.22029576746557877,0.4694656488549618,0.054774929112669124,0.07412843238800026,0.21715621099693563,11727000000.0,1539000000.0,7.369999999999999,8663000000.0,True,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,False,,76.43,B,False,,
FOUR,0001794669,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,NetIncomeLossAvailableToCommonStockholdersDiluted,,,8,2,True,True,True,True,0.1683192261185007,-0.2639593908629442,0.051587301587301626,-0.13265306122448983,0.08511678153976876,0.3668484971888449,0.5695305440874003,3550700000.0,143700000.0,154400000.0,916800000.0,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,,55.87,C,False,,
SHOP,0001594805,,2025-06-30,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,4,2,True,True,True,True,0.3105134474327629,4.3076923076923075,0.2588235294117647,4.298245614035087,0.12949967486339586,-2.9992858294745086,0.22473190911241878,8946000000.0,122000000.0,0.07999999999999993,1373000000.0,True,True,True,True,,False,False,False,,True,True,True,,False,False,False,,,71.03,B,False,,
SFD,0000091388,,2025-06-29,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.10961313012895668,-0.39240506329113933,-13.0,-0.3754152823920266,0.033301028283059066,0.16348450626411667,4.944979308405616,14413000000.0,869000000.0,2.25,-286000000.0,True,True,True,False,,False,False,True,,False,True,False,,False,False,True,,,41.74,D,False,,
SCCO,0001001838,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,ProfitLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,-0.021582272392008495,0.0,0.015279077019020981,0.024009226252883265,0.04544968444587333,0.06892169126288483,0.20242683110111373,12222100000.0,3779400000.0,4.76,4099700000.0,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,,67.55,C,False,,
